No	sitiran 1	case	sitiran 2	bentuk	acuan	speaker 3	speaker mdl dede	speaker 2	jender 1	file 1	File 2	Kesantunan	makna kesantunan	katagori bentuk 1	Fungsi 1	Fungsi 2	Fungsi 3	Fungsi 4	katagori ProN 1	katagori ProN 2	katagori ProN 3	Pronomina Unmarked	Pronomina Inklusif / eksklusif	Formal/informal	jender kuMtul
1	. (SI F   11, 31 HF Soimah   Iya (SI F   11, 33 HF Soimah  eh, kalo	kalian	pengen memakai jilbab yang bagus. (SI F   11, 36 HF Soimah   tanya donk	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI F  11   HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
2	lemah ato apa kita harus bisa, saya aja  perempuan bisa masa	kalian	laki nggak bisa. (SI F 12, 449 M Tigor : tanamkan (SI F 12, 451 M	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	older than guest	HF	So Imah Show	SI F  12   M.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
3	..  Saudar (SI M  14, 12 Soimah  setelah aku tinggal beberapa hari, bagaimana kabar	kalian	masih kelaparan (SI M  14, 14 Soimah  ada dooonk. lho saya kan orang	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  14   HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
4	ama orang miskin. ahahahaha.. (SI M  14, 16 Soimah  wajah-wajah gembel seperti	kalian	mah harus  dikerjain. (SI M  14, 18 Soimah  A' Dudung  (SI M  14, 20 Soimah	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  14   HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
5	-mana, tetap di Show Imah. heeee.. (SI M  14, 499 Soimah  hei, menurut	kalian	nih, aaa..yang namanya aji  mumpung itu yang bagaimana sih menurut	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  14   HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
6	nih, aaa..yang namanya aji  mumpung itu yang bagaimana sih menurut	kalian	itu  sah apa nggak dari Vanessa dulu. (SI M  14, 502 Soimah  sah. (	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  14   HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
8	﻿Soimah : aku senang banget lo jalan ama	kalian	. (SI M  15, 11 HF Soimah : oh boleh, kan kemaren kan kita abis	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  15  HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
9	M  15, 228 HF Soimah : balik ke orang-orang ganteng lagi ini. nah	kalian	itu kan ganteng, keren, dan badannya seger gitu lo. (SI M  15, 230	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  15  HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
10	ini memang duda-duda keren yang luar biasa.  gimana sih cara	kalian	nih buat semuanya, cara  kalian menjaga apa ya, supaya bisa lebih	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  15  HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
11	yang luar biasa.  gimana sih cara kalian nih buat semuanya, cara	kalian	menjaga apa ya, supaya bisa lebih tampil  keren, gitu? apa sih	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  15  HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
12	pandangan saya ke sana. kira-kira apa sih tips yang  membuat	kalian	menjadi duda keren yang tetap  bugar, tetap sehat, tetap cakep, gitu? (	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  15  HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
13	nih ada satu pertanyaan lagi nih. (SI M  15, 610 HF Soimah : sebenernya	kalian	ini tipe cowok seperti apa sih  dalam memperlakukan seorang wanita? nah	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  15  HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
14	saya benerin  makeup dulu yah. (SI M  16,  290 HF Soimah   kira-kira	kalian	tau gak, berapa total mantannya rafi. (SI M  16,  292 HF Soimah   owh 13,	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  16   HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
15	yah kalo gw opening semua pada ngetawain  gw, kurangajar lu pada	kalian	. Kalo opening tuh kan harus  berwibawa pada ketawainn. Ada apa sayang.	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  16   HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
16	ama kursi  saya, lagian kamu yang bayar siapa ? Siapa yang bayar	kalian	? (doro sih yang sebenarnya) ya kenapa kamu duduk  main  main music	kalian	NA	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah Show	SI M  17   HF.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
17	sama alia,  “eh kita anggap kita di luar negri ya kan	kalian	masuk boarding school gitu  kan, jadi misahnya kita mau weekend sama	kalian	alia n shahwa	NA	older_female_guest -> her children (F > addressee)	younger than Host	F	Just Alvin	JA F 5  F   edit juli.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
18	F 6, 280 Alvin  ok, saya mau tanya kekurangan Agnes apa sih dimata	kalian	?      Agnes aaahhhhh ?  kurang tinggi       kelebihannya kan banyak. (JA F 6, 284 Alvin  mungkin	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 6  HM  edit  juli.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
19	tau  aku harus tetap berhubungan baik sama dia. karena...       Alvin  apalagi	kalian	masih partner bisnis..      (JA F 7   F, 115 Anya   yaahh, itu juga jadi	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	older than guest	HM	Just Alvin	JA F 7  F.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
20	ya, yah.  Eeh,  ada banyak tapi yang ini mungkin teman teman	kalian	semua.ha,,ha,, (JA F 7   F, 118 Ayu   sama nasibnya, sama?       Anya	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger than Host	HM	Just Alvin	JA F 7  F.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
21	7, 104 Alvin   mohon maaf saya tanya ya, apakah Anya melihat bahwa  someday	kalian	akan bisa kembali lagi atau bagaimana? (JA F 7, 106 Alvin   the power	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
22	,,ha,, (JA F 7, 208 Alvin   ok, ini kemana mata mereka ya melihat	kalian	ya?       iya...      ha,,ha,,hii,,hi      (JA F 7, 209 Alvin   ayo silahkan,	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
23	, udah udah nanti ceritanya nanti. (JA F 7, 220 Alvin   saya seneng sih	kalian	bisa sharing, saling saling  support,,,ya.      tamu lain  iya,,eehh,hee,,	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
24	untuk bilang  sebetulnya? (JA F 7, 243 Alvin   nah... (JA F 7, 245 Alvin   tapi	kalian	semua kan mencintai pasangan kalian pada	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
25	7, 243 Alvin   nah... (JA F 7, 245 Alvin   tapi kalian semua kan mencintai pasangan	kalian	pada	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
26	, tapi perjalanan love storynya  kan pasti ada, ada masa masa dimana	kalian	berempat  pun pernah merasakan kebahagiaan       Shandy  ituu  paasti      dengan calon pasangan	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
27	berempat  pun pernah merasakan kebahagiaan       Shandy  ituu  paasti      dengan calon pasangan	kalian	sebetulnya. (JA F 7, 265 Alvin   memang ada hal menyakitkan sebelum terjadinya  gagalnya	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
28	teman teman yang sudah melaksanakan      processor ya? (JA F 7, 335 Alvin   tapi	kalian	semua tidak melakukan ee..Prewed itu.. ya?  oh kecuali Anya. (JA	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
29	(JA F 7, 340 Alvin   o (JA F 7, 342 Alvin   kalau saya liat dari	kalian	berlima ya, dari teman teman  berlima ini ya. sedih pasti ya?	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
30	7, 348 Alvin   justru merupakan reminder terlebih dahulu mungkin ya? (JA F 7, 353 Alvin	kalian	punya prestasi, kalian punya pekerjaan yang  bagus, kalian cantik, rasanya tidak	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
31	reminder terlebih dahulu mungkin ya? (JA F 7, 353 Alvin   kalian punya prestasi,	kalian	punya pekerjaan yang  bagus, kalian cantik, rasanya tidak ada yang kurang	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
32	? (JA F 7, 353 Alvin   kalian punya prestasi, kalian punya pekerjaan yang  bagus,	kalian	cantik, rasanya tidak ada yang kurang dari  kalian berlima. resolusi apa	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
33	pekerjaan yang  bagus, kalian cantik, rasanya tidak ada yang kurang dari	kalian	berlima. resolusi apa untuk tahun ke depan dalam  mencari pasangan hidup,	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
34	depan dalam  mencari pasangan hidup, jodoh yang kira kira mungkin  yang	kalian	dambakan. (JA F 7, 359 alvin,  ayu,  anya  Astrid.      semua tamu tertawa      (JA	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
35	paling tegar  ya?       semua tamu tertawa,,ngoceh      paling tegar ya  diantara	kalian	semua. (JA F 7, 369 Alvin   ok, bukan saya lho yang bilang, Nuri	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 7  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
36	banget kan? (JA F 8, 117 Alvin  masa 10 taun? halo.. (JA F 8, 120 Alvin	kalian	tinggi tinggi sekarang yah? (JA F 8, 122 Alvin  masa 10 taun nggak ketemu?	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
37	untuk, untuk  umum nih keliatannya yah? (JA F 8, 145 Alvin  tapi penggemar	kalian	kan masih ada kan? (JA F 8, 149 Alvin  di, dia cuman sukanya	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
38	ini untuk seorang  Monica Oemardi. (JA F 8, 315 Alvin  umur berapa sih	kalian	mulai kerja? kan dari kecil dua  ini, ya kan? dari umur 12	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
39	aku dari kecil udah biasa  kerja kan? (JA F 8, 325 Alvin  playground	kalian	lah yah? (JA F 8, 332 Alvin  enjoy karena menikmati ketenaran kalian pada	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
40	playground kalian lah yah? (JA F 8, 332 Alvin  enjoy karena menikmati ketenaran	kalian	pada saat itu  ato bagaimana? (JA F 8, 335 Alvin  tapi itu kan	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
41	kita dari tadi, balik lagi ke curcol. (JA F 8, 500 Alvin  peran	kalian	kan sudah bergeser nih, kalo dulu  perannya kan sebagei remaja entah	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
42	. kita break dulu yah. (JA F 8, 543 Alvin  tapi gini, sebetulnya aaa..	kalian	melihat perkembangan  dari dulu sama sekarang bedanya apa sih? selain tadi	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
43	dari dari ini ya? (JA F 8, 575 Alvin  sekarang, sekarang. yang yang	kalian	jalanin ini. (JA F 8, 577 Alvin  pernah dapat bonus nggak? (JA F 8, 579	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
44	kan? (JA F 8, 591 Alvin  gimana? ada ada satu apresiasi lain nggak	kalian	dapat  kan? dari dari aa.. dari gemerlapnya ato dari popularnya  sinetron	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
45	F 9,  135 Alvin SMA nya juga juara DJ kan? (JA F 9,  137 Alvin	kalian	pertama kali nge DJ  bareng taun lalu berarti ya? (JA F 9,  139	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 9   HM  edit 1 des.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
46	sekarang beda kan? (JA F 9,  162 Alvin oke, gimana kalo kita liat	kalian	berdua operate alat itu sama sama. (JA F 9,  165 Alvin masih familiar	kalian	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 9   HM  edit 1 des.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Mt
47	? kejam banget. aduh. JA F 9  F 97 Maia bunda kangen banget ama	kalian	nak. itu aja udah.  pengen bobo bareng ama anak anak. JA	kalian	alia n shahwa	NA	older_female_guest -> her children (F > addressee)	younger than Host	F	Just Alvin	JA F 9  F.txt	Kesantunan negatif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. kamu, kau, koe, lu, mu, sampean, kalian (intimate form)	2b. Pronomina Or. II jamak	2. 2nd peson	Pronominal Pronoun	Unmarked	inklusif informal	Formal	Ft
